asv,sample,counts,presence,local,type,species,taxa
ASV_14,LARVAE2SBBP4,0,0,BP,LARVAE,SB,Raoultella
ASV_30,LARVAE1SDBP4,0,0,BP,LARVAE,SD,Klebsiella
ASV_93,HONEYSBBP4,64,0,BP,HONEY,SB,Lactobacillus
ASV_76,LARVAESDSC1,0,0,SC,LARVAE,SD,Sphingobacterium
ASV_60,FORAGERSBSC2,256,0,SC,FORAGER,SB,Enterobacterales
ASV_55,FORAGERSDBP2,1003,0,BP,FORAGER,SD,Bombilactobacillus
ASV_30,GUARDSDBG1,215,1,BG,GUARD,SD,Klebsiella
ASV_85,FORAGERSBBG2,0,0,BG,FORAGER,SB,Tyzzerella
ASV_93,FOODSDSC2,0,0,SC,FOOD,SD,Lactobacillus
ASV_83,HONEYSDBG1,0,0,BG,HONEY,SD,Corynebacterium
ASV_99,FORAGERSDSC2,5089,0,SC,FORAGER,SD,Lactobacillaceae
ASV_62,FOODSBBG2,0,0,BG,FOOD,SB,Acinetobacter
ASV_71,POLLENSBBP2,0,0,BP,POLLEN,SB,Weissella
ASV_439,HONEYSDBG2,22,0,BG,HONEY,SD,Bifidobacteriaceae
ASV_60,GUARDSDSC2,0,0,SC,GUARD,SD,Enterobacterales
ASV_76,FOODSDBP2,0,0,BP,FOOD,SD,Sphingobacterium
ASV_85,GUARDSDSC2,0,0,SC,GUARD,SD,Tyzzerella
ASV_439,POLLENSBBP2,0,0,BP,POLLEN,SB,Bifidobacteriaceae
ASV_76,NURSESDSC2,0,0,SC,NURSE,SD,Sphingobacterium
ASV_85,NURSESDBG1,0,0,BG,NURSE,SD,Tyzzerella
ASV_14,HONEYSBSC2,234,1,SC,HONEY,SB,Raoultella
ASV_55,FOODSDBG1,0,0,BG,FOOD,SD,Bombilactobacillus
ASV_86,FORAGERSDBP2,0,0,BP,FORAGER,SD,Acetobacteraceae
ASV_543,HONEYSBBP4,0,0,BP,HONEY,SB,Taibaiella
